16.09.2019                                                      Dynamische Listenausgabe                                                              1;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Stf;Pos.;EKG;Material P;Objektkurztext;     Menge;ME;SchGut;R;Werk;LOrt;ArbPlatz;ZTP;ÄndNr;Horiz;DMk;BeschArt;MArt
;5;480;W90;500424304;HV-Naht 3 EN15085-3 CPC2 G199L;    0,045;M;X;1;86;88;S4BS;SP;W-FIN001M;1;PD;F;KBEI
;4;9;B30;500540645;Aeusserer Laengstraeger re kpl.;1;ST;;1;86;15;S4BS;SP;W-FIN001M;200;PD;E;HALB
;5;1;W05;500549889;Aussentraeger rechts;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;5;2;W09;500213250;Schweissm. M10 DIN929-A4;5;ST;X;;86;88;S4BS;SP;W-FIN001M;1;ND;F;ROH
;5;3;W09;500206951;Schweissm.M8 DIN929-A4;2;ST;X;;86;88;S4BS;SP;72884;1;ND;F;ROH
;5;381;W90;500428238;Punktnaht für Schweißmutter EN15085-3;7;ST;X;1;86;88;S4BS;SP;72884;1;PD;F;KBEI
;5;480;W90;500424304;HV-Naht 3 EN15085-3 CPC2 G199L;    0,045;M;X;1;86;88;S4BS;SP;W-FIN001M;1;PD;F;KBEI
;4;10;B30;500540646;Querträger UB kpl.;1;ST;;1;86;15;S4BS;SP;W-FIN001M;200;PD;E;HALB
;5;1;W05;500548047;Quertraeger Obergurt;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;5;2;W05;500548046;Quertraeger Untergurt;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;5;3;W05;500548045;Auflage 1;2;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;5;4;W05;500548049;Flanschplatte li.;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;5;5;W05;500548221;Flanschplatte re.;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;5;6;W05;500548101;Fuehrung li.;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;5;7;W05;500548404;Fuehrung re.;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;5;8;W05;500548100;Auflage 2;4;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;5;9;W05;500548048;Deckelblech;2;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;5;10;W05;500556135;Deckel;2;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;5;11;W09;500437633;Schweissm.M16 DIN929-A4;2;ST;X;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;5;13;W09;500206951;Schweissm.M8 DIN929-A4;4;ST;X;;86;88;S4BS;SP;72635;1;ND;F;ROH
;5;381;W90;500428238;Punktnaht für Schweißmutter EN15085-3;6;ST;X;1;86;88;S4BS;SP;72635;1;PD;F;KBEI
;5;431;W90;500424305;Kehlnaht a2 EN15085-3 CPC2 G199L;1,400;M;X;1;86;88;S4BS;SP;72635;1;PD;F;KBEI
;5;433;W90;500440368;Kehlnaht a4 EN15085-3 CPC2 G199L;1,648;M;X;1;86;88;S4BS;SP;72635;1;PD;F;KBEI
;5;518;W90;500425893;HY-Naht 3 EN15085-3 CPC2 G199L;1,124;M;X;1;86;88;S4BS;SP;72635;1;PD;F;KBEI
;5;551;;500427485;Gegenlage EN15085-3 CPC2 G199L;    0,410;M;X;1;86;88;S4BS;SP;72635;1;PD;F;KBEI
;5;1217;W90;500434907;Kehlnaht a2 EN15085-3 CPC2 G2293NL;1,094;M;X;1;86;88;S4BS;SP;72635;1;PD;F;KBEI
;5;1219;;500437706;Kehlnaht a4 EN15085-3 CPC2 G2293NL;    0,416;M;X;1;86;88;S4BS;SP;72635;1;PD;F;KBEI
;5;1265;W90;500438150;HV-Naht 4 EN15085-3 CPC2 G2293NL;    0,742;M;X;1;86;88;S4BS;SP;72635;1;PD;F;KBEI
;5;1300;W90;500439421;HY-Naht 3 EN15085-3 CPC2 G2293NL;2,236;M;X;1;86;88;S4BS;SP;72635;1;PD;F;KBEI
;5;1302;W90;500434859;HY-Naht 5 EN15085-3 CPC2 G2293NL;    0,416;M;X;1;86;88;S4BS;SP;72635;1;PD;F;KBEI
;5;1335;W90;500441489;Gegenlage EN15085-3 CPC2 G2293NL;1,224;M;X;1;86;88;S4BS;SP;72635;1;PD;F;KBEI
;4;11;W05;500554721;Antennenkonsole;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;4;13;W05;500548102;Verstaerkungsbl Anhebest li.;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;4;14;W05;500548103;Verstaerkungsbl Anhebest re.;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;4;17;W05;500557920;Fussbodenauflage li.;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;4;18;W05;500557921;Fussbodenauflage re.;1;ST;;;86;88;S4BS;SP;W-FIN001M;1;PD;F;ROH
;4;19;W09;500328892;Schweissm.M6 DIN929-A4;4;ST;X;;86;88;S4BS;SP;72635;1;ND;F;ROH
