Stf;Pos.;MaterialP;Objektkurztext;Menge;ME;Werk;ZTP;Horiz;DMk;BeschArt;MArt;R;LOrt;ArbPlatz;ÄndNr;EKG;SchGut
 3;0216;500576269;Flanschplatte 2XM32-1XM25;      5;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W05;
 3;0217;500576300;Flanschplatte 4XM32;      3;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W05;
 3;0218;500576302;Dichtung Flanschplatte;     12;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W09;
 3;0221;500192218;Flachdichtung M32 Di32 Da39 1dick PTFE;     30;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;76520;W09;X
 3;0222;500190715;Flachdichtung M25 Di25 Da31 1,0dick PTFE;     10;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;76520;W09;X
 3;0223;500367076;Flachdichtung M16 Di16 Da20 1dick PTFE;      1;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;B-GOT001;W09;X
 3;0225;500175553;Gegenm.M32x1,5 232/5 Ms,vern.;      2;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;B-GOT001;W04;X
 3;0230;500378140;Kabelverschraubung VK23255d Ms,vern.;      2;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;B-GOT001;W09;X
 3;0231;500175848;Kabelverschraubung VK83254d20 Ms,vern.;     10;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;B-GOT001;W04;X
 3;0240;500579041;Kanalstück PS 125x75x3000;      1;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W05;
 3;0241;500579042;Kanalstück PS 125x75x3000;      1;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W05;
 3;0242;500579161;Kanalstück PS 125x75x1640;      1;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W05;
 3;0243;500579044;Kanalstück PS 125x75x3000;      1;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W05;
 3;0244;500579071;Kanalstück PS 125x75x3000;      1;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W05;
 3;0245;500579045;Kanalstück PS 125x75x1640;      1;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W05;
 3;0246;500579158;Kanalstück PS 200x50x1600 Edelstahl P004;      1;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W05;
 3;0247;500579070;Kanalstück PS 100x50x1000 Edelst.   P039;      1;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W05;
 3;0248;BZ-500267635;Kanalstück PS 50x50x720 Edelstahl;      1;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W05;
 3;0249;500267683R;Kanalabdeckung CO2 50x720 Edelstahl;      1;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W05;
 3;0250;500579156;Kanalabdeckung CO2 125x3000;      1;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W05;
 3;0251;500576316;Kanalabdeckung C02 125x3000 Edelst. P018;      1;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W05;
 3;0252;500579153;Kanalabdeckung C02 125x1640 Edelst. P021;      2;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W05;
 3;0253;500579154;Kanalabdeckung C02 200x1600 Edelst. P004;      1;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W05;
 3;0254;500579099;Kanalabdeckung CO2 100x1000;      1;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;B-GOT001;W05;
 3;0260;500462345;Kantenschutz 4610117 EPDM schwarz; 20,000;M;86;SP;001;PD;F;ROH;1;88;S2MOB3;B-GOT001;W02;
 3;0270;650117379;Schutzschlauch PCST-10B:PMA;  0,800;M;86;SP;001;PD;F;ROH;1;88;S2MOB3;B-GOT001;W11;
 3;0271;500538123;Schutzschlauch PCSLT-17B, schwarz;  1,600;M;86;SP;001;PD;F;ROH;1;88;S2MOB3;B-GOT001;W02;
 3;0272;500538124;Schutzschlauch PCSLG-23B, schwarz; 13,500;M;86;SP;001;PD;F;ROH;1;88;S2MOB3;B-GOT001;W02;
 3;0273;500538125;Schutzschlauch PCSLG-29B, schwarz; 11,400;M;86;SP;001;PD;F;ROH;1;88;S2MOB3;B-GOT001;W02;
 3;0300;500475242;Rhombus-Mutter für T-Nuten 9923786106;     24;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;76887;W09;X
 3;0301;500475243;Halteklammer M10   9911440129 Nosta;     24;ST;86;SP;001;PD;F;ROH;;88;S2MOB3;76887;W05;X
 3;0400;500453820;Sechskantschr.M16x70 ISO4017-A4-80;      4;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;B-GOT001;W09;X
 3;0401;500418858;Sechskantschr.M12x60 ISO4017 A4-80;      4;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;B-GOT001;W09;X
 3;0402;500520753;Sechskantschr.M16x80 ISO4017-A4-80;      4;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;B-GOT001;W09;X
 3;0403;500356933;Sechskantschr.M12x55 ISO4017-A4-80;      8;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;B-GOT001;W09;X
 3;0404;500329819;Sechskantschr.M8x25 ISO4017-A4-80;     87;ST;86;SP;001;ND;F;ROH;;88;S2MOB3;76887;W09;X
