Stf;Pos.;MaterialP;Objektkurztext;Menge;ME;Werk;ZTP;Horiz;DMk;BeschArt;MArt;R;LOrt;ArbPlatz;ÄndNr;EKG;SchGut
 5;0001;500442447;LV399979SE Tuersaeulenverkl abehmbar I r;      1;ST;86;SP;001;P1;F;HALB;;88;PA01;54486;W05;
 4;0003;LV3990840;Konsole oben re Bl 2x156,2x212,9 ISO9445;      1;ST;86;SP;100;PD;F;HALB;;88;;75266;W05;
 4;0004;LV3990891;Konsole Handla. Bl 2x280,2x298,7 ISO9445;      1;ST;86;SP;100;PD;F;HALB;;88;;75266;W05;
 4;0005;LV3990892;Konsole Handla. Bl 2x331,4x345,7 ISO9445;      1;ST;86;SP;100;PD;F;HALB;;88;;75266;W05;
 4;0006;LV399372SE;Anschlusskonsole Trennwand oben kpl.;      1;ST;86;SP;001;PD;F;HALB;;88;;75266;W05;
 4;0007;LV399378SE;Einstellplatte kpl.;      1;ST;86;SP;001;PD;F;HALB;;88;;75266;W05;
 4;0008;LV329064SE;Konsole -Trennwand rechts;      1;ST;86;SP;001;PD;F;HALB;;88;;75266;W05;
 4;0009;500600395;Konsole Ts-Vkl re 2;      1;ST;86;SP;001;PD;F;ROH;;88;;75266;W05;
 4;0010;LV3990841;Konsole links Bl 2x20x61,2 ISO9445;      1;ST;86;SP;100;PD;F;HALB;;88;;75266;W05;
 4;0011;500600394;Konsole Ts-Vkl re 1;      1;ST;86;SP;001;PD;F;ROH;;88;;75266;W05;
 4;0012;500600604;Gummiband 10x5 AMCO AM22;  0,140;M;86;SP;001;PD;F;ROH;1;88;;75266;W02;
 4;0013;500457292;Gehäuse für Notbetätigung;      1;ST;86;SP;001;PD;F;ROH;;88;;75266;W06;
 4;0014;LV3992559;Gummibeilage 2x187x308;      1;ST;86;SP;100;PD;F;HALB;;88;;75266;W05;
 4;0016;500449920;Hutprofil fuer M6;      2;ST;86;SP;001;PD;F;ROH;;88;;75266;W05;
 4;0017;LV3990855;Beilage 3 fuer Handlauf Tfl 3x35x50;      2;ST;86;SP;100;PD;F;HALB;1;88;;75266;WDU;X
 4;0018;500449865;Beilage 1 Tfl.;      1;ST;86;SP;001;PD;F;ROH;;88;;75266;W05;
 4;0019;500449868;Beilage 2 Tfl.;      1;ST;86;SP;001;PD;F;ROH;;88;;75266;W05;
 4;0022;700031090;Zylinderschr.M6x12 ISO4762-A2-70;      4;ST;86;SP;001;ND;F;ROH;;88;;75266;W09;X
 4;0023;700034721;Zylinderschr.M5x16 ISO4762-A2-70;      4;ST;86;SP;001;ND;F;ROH;;88;;75266;W09;X
