Stf;Pos.;MaterialP;Objektkurztext;Menge;ME;Werk;ZTP;Horiz;DMk;BeschArt;MArt;R;LOrt;ArbPlatz;ÄndNr;EKG;SchGut
 3;0006;500523841;Zellschaumband Haltestangen 2mm;      2;ST;86;SP;001;PD;F;ROH;;88;M4FL;W-FZU001;W02;
 3;0007;500523839;Beilage Haltestange 1mm;      4;ST;86;SP;001;PD;F;ROH;;88;M4FL;W-FZU001;W05;
 3;0008;500523840;Beilage Haltestange 2mm;      6;ST;86;SP;001;PD;F;ROH;;88;M4FL;W-FZU001;W05;
 3;0001;500036716;Montagepaste Klüber 46MR401;  0,000;KG;86;SP;001;PD;F;ROH;1;88;M4FL;75134;W09;
 3;0011;500340296;Loctite 243 Schraubensicherung;  0,004;KG;86;SP;001;PD;F;ROH;1;88;M4FL;W-VIE001;W09;
 3;0001;500580261;Haltestange TSV 1T RE kpl;      1;ST;86;SP;001;PD;F;ROH;;88;M4FL;W-FZU001;W06;
 3;0002;500577834;Formrohr Portalhaltestange kpl;      2;ST;86;SP;001;PD;F;ROH;;88;M4FL;W-FZU001;W06;
 3;0003;500580326;Haltestangen-Beilage 6x20x45        P004;      2;ST;86;SP;001;PD;F;ROH;;88;M4FL;W-FZU001;W05;
 3;0004;500377016;Sperrkantscheibe SKZ-12 TN096660-NrFSt;      2;ST;86;SP;001;ND;F;ROH;;88;M4FL;W-FZU001;W09;X
 3;0005;700038315;Zylinderschr.M12x110 ISO4762-A2-70;      2;ST;86;SP;001;ND;F;ROH;;88;M4FL;W-FZU001;W09;X
 3;0001;500036716;Montagepaste Klüber 46MR401;  0,000;KG;86;SP;001;PD;F;ROH;1;88;M4FL;75134;W09;
 3;0001;500580268;Haltestange TSV 1T LI kpl;      1;ST;86;SP;001;PD;F;ROH;;88;M4FL;W-FZU001;W06;
 3;0002;500577834;Formrohr Portalhaltestange kpl;      2;ST;86;SP;001;PD;F;ROH;;88;M4FL;W-FZU001;W06;
 3;0003;500580326;Haltestangen-Beilage 6x20x45        P004;      2;ST;86;SP;001;PD;F;ROH;;88;M4FL;W-FZU001;W05;
 3;0004;500377016;Sperrkantscheibe SKZ-12 TN096660-NrFSt;      2;ST;86;SP;001;ND;F;ROH;;88;M4FL;W-FZU001;W09;X
 3;0005;700038315;Zylinderschr.M12x110 ISO4762-A2-70;      2;ST;86;SP;001;ND;F;ROH;;88;M4FL;W-FZU001;W09;X
 3;0001;500036716;Montagepaste Klüber 46MR401;  0,000;KG;86;SP;001;PD;F;ROH;1;88;M4FL;75134;W09;
 3;0001;500581640;Trennwandstange kpl;      1;ST;86;SP;001;PD;F;ROH;;88;M4FL;W-FZU001;W06;
 3;0002;500581646;Trennwandtürstange kpl;      1;ST;86;SP;001;PD;F;ROH;;88;M4FL;W-FZU001;W06;
 3;0003;500582240;Türstopper;      1;ST;86;SP;001;PD;F;ROH;;88;M4FL;W-FZU001;W11;
 3;0004;500377016;Sperrkantscheibe SKZ-12 TN096660-NrFSt;      4;ST;86;SP;001;ND;F;ROH;;88;M4FL;W-FZU001;W09;X
 3;0005;500403803;Zylinderschr.M12x30 ISO4762-A4-80;      4;ST;86;SP;001;ND;F;ROH;;88;M4FL;W-FZU001;W09;X
 3;0001;500036716;Montagepaste Klüber 46MR401;  0,000;KG;86;SP;001;PD;F;ROH;1;88;M4FL;75134;W09;
