Stf;Pos.;MaterialP;Objektkurztext;Menge;ME;Werk;LOrt;ZTP;Horiz;DMk;BeschArt;MArt;ArbPlatz;ÄndNr;EKG;SchGut
4;7;500541024;Laengstraeger 2 Re CM1;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
4;8;500540962;Einstiegstraeger CM1 KPL;1;ST;86;15;SP;200;PD;E;HALB;S4BS;W-VIE001M;B30;
5;1;500540963;Untergurt Einstieg CM1;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
5;2;500541003;Langträger CM1;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
5;3;500540969;Anschlussblech Li;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
5;4;500541000;Anschlussblech re.;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
5;5;500540966;Anschlussblech;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
5;6;500540965;Anschlussblech;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
5;7;500541001;Querrippe li.;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
5;8;500541002;Querrippe Re;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
5;9;500540968;Rippe;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
5;10;500540964;Eckblech;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
5;11;500540967;Deckblech;1;ST;86;88;SP;1;PD;F;ROH;S4BS;W-VIE001M;W05;
5;431;500424305;Kehlnaht a2 EN15085-3 CPC2 G199L;    0,190;M;86;88;SP;1;PD;F;KBEI;S4BS;W-VIE001M;W90;X
5;432;500424388;Kehlnaht a3 EN15085-3 CPC2 G199L;    0,900;M;86;88;SP;1;PD;F;KBEI;S4BS;W-VIE001M;W90;X
5;433;500440368;Kehlnaht a4 EN15085-3 CPC2 G199L;1,539;M;86;88;SP;1;PD;F;KBEI;S4BS;71404;W90;X
5;443;500439259;Kehlnaht z4 EN15085-3 CPC2 G199L;    0,130;M;86;88;SP;1;PD;F;KBEI;S4BS;W-VIE001M;W90;X
5;444;500440149;Kehlnaht z5 EN15085-3 CPC2 G199L;    0,928;M;86;88;SP;1;PD;F;KBEI;S4BS;W-VIE001M;W90;X
5;450;500424324;Doppel-KN a2 EN15085-3 CPC2 G199L;    0,190;M;86;88;SP;1;PD;F;KBEI;S4BS;W-VIE001M;W90;X
5;518;500425893;HY-Naht 3 EN15085-3 CPC2 G199L;    0,190;M;86;88;SP;1;PD;F;KBEI;S4BS;W-VIE001M;W90;X
5;519;500440393;HY-Naht 4 EN15085-3 CPC2 G199L;    0,387;M;86;88;SP;1;PD;F;KBEI;S4BS;W-VIE001M;W90;X
