Stf;Pos.;MaterialP;Objektkurztext;Menge;ME;Werk;ZTP;Horiz;DMk;BeschArt;MArt;R;LOrt;ÄndNr;ArbPlatz;EKG;SchGut
5;1301;500438155;HY-Naht 4 EN15085-3 CPC2 G2293NL;    0,652;M;86;SP;1;PD;F;KBEI;1;88;72431;S4BS;W90;X
4;2;500540640;Innerer Längsträger li kpl.;1;ST;86;SP;200;PD;E;HALB;1;15;W-FIN001M;S4BS;B30;
5;1;500549881;Kupplungs laengstraeger li;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
5;2;500549893;Verbindungselement links Laengstr.;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
5;3;500549883;Deckblech li;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
5;4;500336097;Schweissm.M5 DIN929-A4;6;ST;86;SP;1;PD;F;ROH;;88;72884;S4BS;W09;
5;381;500428238;Punktnaht für Schweißmutter EN15085-3;6;ST;86;SP;1;PD;F;KBEI;1;88;72884;S4BS;W90;X
5;431;500424305;Kehlnaht a2 EN15085-3 CPC2 G199L;    0,360;M;86;SP;1;PD;F;KBEI;1;88;W-FIN001M;S4BS;W90;X
5;481;500425891;HV-Naht 4 EN15085-3 CPC2 G199L;    0,482;M;86;SP;1;PD;F;KBEI;1;88;W-FIN001M;S4BS;W90;X
5;518;500425893;HY-Naht 3 EN15085-3 CPC2 G199L;    0,856;M;86;SP;1;PD;F;KBEI;1;88;W-FIN001M;S4BS;W90;X
4;3;500540641;Innerer Längsträger re kpl.;1;ST;86;SP;200;PD;E;HALB;1;15;W-FIN001M;S4BS;B30;
5;1;500549884;Kupplungs laengstraeger re;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
5;2;500549894;Verbindungselement rechts Laengstr.;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
5;3;500549886;Deckblech re;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
5;4;500336097;Schweissm.M5 DIN929-A4;3;ST;86;SP;1;PD;F;ROH;;88;72884;S4BS;W09;
5;381;500428238;Punktnaht für Schweißmutter EN15085-3;3;ST;86;SP;1;PD;F;KBEI;1;88;72884;S4BS;W90;X
5;431;500424305;Kehlnaht a2 EN15085-3 CPC2 G199L;    0,360;M;86;SP;1;PD;F;KBEI;1;88;W-FIN001M;S4BS;W90;X
5;481;500425891;HV-Naht 4 EN15085-3 CPC2 G199L;    0,482;M;86;SP;1;PD;F;KBEI;1;88;W-FIN001M;S4BS;W90;X
5;518;500425893;HY-Naht 3 EN15085-3 CPC2 G199L;    0,856;M;86;SP;1;PD;F;KBEI;1;88;W-FIN001M;S4BS;W90;X
4;4;500540642;Mittlerer Längsträger li kpl.;1;ST;86;SP;200;PD;E;HALB;1;15;W-FIN001M;S4BS;B30;
5;1;500549877;Laengstraeger innen li;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
5;2;500552265;Traegerplatte;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
5;3;500549891;Verbindungselement links Laengstr.;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
5;481;500425891;HV-Naht 4 EN15085-3 CPC2 G199L;    0,392;M;86;SP;1;PD;F;KBEI;1;88;W-FIN001M;S4BS;W90;X
5;518;500425893;HY-Naht 3 EN15085-3 CPC2 G199L;    0,694;M;86;SP;1;PD;F;KBEI;1;88;W-FIN001M;S4BS;W90;X
4;5;500540643;Mittlerer Längsträger re kpl.;1;ST;86;SP;200;PD;E;HALB;1;15;W-FIN001M;S4BS;B30;
5;1;500549879;Laengstraeger innen re;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
5;2;500552265;Traegerplatte;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
5;3;500549892;Verbindungselement rechts Laengstr.;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
5;481;500425891;HV-Naht 4 EN15085-3 CPC2 G199L;    0,392;M;86;SP;1;PD;F;KBEI;1;88;W-FIN001M;S4BS;W90;X
5;518;500425893;HY-Naht 3 EN15085-3 CPC2 G199L;    0,694;M;86;SP;1;PD;F;KBEI;1;88;W-FIN001M;S4BS;W90;X
4;6;500554722;Quertraeger kurz li.;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
4;7;500554723;Quertraeger kurz re.;1;ST;86;SP;1;PD;F;ROH;;88;W-FIN001M;S4BS;W05;
